text,label,processed_text,token_count
"Red Hat Appoints New CFO. September 2, 2004 -- (WEB HOST INDUSTRY REVIEW) -- Linux distributor Red Hat (redhat.com) announced on Thursday that it has appointed Charles E. Peters, Jr.",Sci_Tech,red hat appoint new cfo september web host industry review linux distributor red hat redhat com announce on thursday that it have appoint charles peters jr,26
"Sprint, SBC In Hotspot Roaming Deal. Sprint and SBC Communications Friday announced a two-way roaming deal that will enable the customers of each vendor to access the hotspots run by the other.",Sci_Tech,sprint sbc in hotspot roam deal sprint and sbc communication friday announce two way roam deal that will enable the customer of each vendor to access the hotspot run by the other,32
Radio Outage Grounds West Coast Flights. Airport operations were back to normal early Wednesday following a radio failure at a Federal Aviation Administration control facility that tied up travelers for hours.,Business,radio outage ground west coast flights airport operation be back to normal early wednesday follow radio failure at federal aviation administration control facility that tie up traveler for hour,29
"Hollywood lawsuits to strike Net pirates. Hollywood studios are about to take the long-anticipated step of firing a barrage of lawsuits at some of the most prolific Internet pirates, echoing the legal strategy that the recording industry already has used with limited success.",Sci_Tech,hollywood lawsuit to strike net pirate hollywood studio be about to take the long anticipate step of fire barrage of lawsuit at some of the most prolific internet pirate echo the legal strategy that the recording industry already have use with limited success,43
Custis Takes Control. Family and Tony Robbins have matured and molded University of Maryland free safety Ray Custis into a trusted leader and anchor of the Terrapins' defense.,Sports,custis take control family and tony robbin have mature and mold university of maryland free safety ray custis into trusted leader and anchor of the terrapin defense,27
CA execs can keep bonuses--for now. Computer Associates International shareholders on Wednesday struck down a proposal to recoup money paid out to executives during a long-running accounting scandal.,Sci_Tech,can exec can keep bonus for now computer associate international shareholder on wednesday strike down proposal to recoup money pay out to executive during long run accounting scandal,28
"WorldCom, Microsoft cases before EU court. Two of the European Union #39;s landmark antitrust decisions against US companies are in court this week as WorldCom Inc. seeks a moral victory and Microsoft Corp.",Business,worldcom microsoft case before eu court two of the european union landmark antitrust decision against us company be in court this week as worldcom inc seek moral victory and microsoft corp,31
"EU Court Overturns Bar on Merger (Reuters). Reuters - The European Commission was wrong to bar the takeover bid by U.S. telecoms firm WorldCom for rival Sprint, a European Union court said on Tuesday, annulling the action taken four years ago.",Business,eu court overturn bar on merger reuter reuter the european commission be wrong to bar the takeover bid by telecom firm worldcom for rival sprint european union court say on tuesday annul the action take four year ago,38
Homer-happy Mariners end skid. A four-pitch sequence in the fifth inning Friday night produced something the Mariners hadn #39;t done in nearly eight years. Miguel Olivo hit a home run to left-center field.,Sports,homer happy mariner end skid four pitch sequence in the fifth inning friday night produce something the mariner hadn do in nearly eight year miguel olivo hit home run to leave center field,33
"Philip Morris lab discovered passive smoking risk in 1982: Lancet. PARIS (AFP) - A lab owned by US tobacco giant Philip Morris uncovered evidence in the early 1980s about potential risks from passive smoking but its findings were never made public, a study charges.",Sci_Tech,philip morris lab discover passive smoking risk in lancet paris afp lab own by we tobacco giant philip morris uncover evidence in the early about potential risk from passive smoking but its finding be never make public study charge,39
"Update 2: Top Citigroup Executives Swap Jobs. In a move Citigroup Inc. said was aimed at broadening the experience of up-and-coming executives, two of its top managers are swapping jobs.",Business,update top citigroup executive swap job in move citigroup inc say be aim at broaden the experience of up and come executive two of its top manager be swap job,30
"My Yahoo Embraces RSS Feeds. My Yahoo Embraces RSS Feeds I started using RSS in January 2000 after Blake Carver sent me a exasperated e-mail asking why, for heaven's sake, I wasn't using it. Surely, he noted, I could see that RSS was the greatest thing since sliced soap. (He may have used slightly different words.) ...",Sci_Tech,my yahoo embrace rss feed my yahoo embrace rss feed start use rss in january after blake carver send exasperated mail ask why for heaven sake be not use it surely he note could see that rss be the great thing since sliced soap he may have use slightly different word,51
Chinese astronauts to wear lighter outfits. China has developed a light and removable spacesuit for its astronauts set to embark on China #39;s second manned space mission scheduled for next September.,Sci_Tech,chinese astronaut to wear light outfit china have develop light and removable spacesuit for its astronaut set to embark on china second manned space mission schedule for next september,29
"Game over for Hewitt and Clijsters. Kim Clijsters has stunned the tennis world by announcing her break up with Lleyton Hewitt, just four months before their scheduled wedding.",Sports,game over for hewitt and clijster kim clijsters have stun the tennis world by announce she break up with lleyton hewitt just four month before their schedule wedding,28
Mets and Randolph Launch a New Era. Willie Randolph walked into Shea Stadium on Thursday and was introduced as the first African-American manager of a major league team in New York.,Sports,met and randolph launch new era willie randolph walk into shea stadium on thursday and be introduce as the first african american manager of major league team in new york,30
"NC State 17, Virginia Tech 16. TA McLendon ran for 93 yards and a touchdown for North Carolina State and Virginia Tech kicker Brandon Pace missed a 43-yard field goal attempt as time expired as the Wolfpack beat the Hokies 17-16 Saturday.",Sports,nc state virginia tech ta mclendon run for yard and touchdown for north carolina state and virginia tech kicker brandon pace miss yard field goal attempt as time expire as the wolfpack beat the hokie saturday,36
"Japan quakes kill eight. Tokyo - A strong earthquake measuring 6.8 on the Richter scale and swarms of aftershocks rocked central Japan and the capital Tokyo on Saturday, killing at least eight people including four children, officials said.",World,japan quake kill eight tokyo strong earthquake measure on the richter scale and swarm of aftershock rock central japan and the capital tokyo on saturday kill at least eight people include four child official say,35
"Athletics: Shaheen record run lifts after-show party. For Saif Saaeed Shaheen, the Memorial Van Damme in the Stade Roi Baudouin last night was the Lord Mayor #39;s Show, not after it. He made the most of it, steeplechasing in all his",Sports,athletic shaheen record run lift after show party for saif saaeed shaheen the memorial van damme in the stade roi baudouin last night be the lord mayor show not after it he make the most of it steeplechase in all his,41
"Scientists map Chromosome 5. GENETICS experts reported today that they had mapped Chromosome 5 of the human genome, a coil of DNA linked to several rare but crippling disorders including spinal muscular atrophy.",Sci_Tech,scientist map chromosome genetic expert report today that they have map chromosome of the human genome coil of dna link to several rare but crippling disorder include spinal muscular atrophy,30
"New mobile music service launches. com December 15, 2004, 3:10 PM PT. Seattle-based mobile music company Melodeo said Wednesday that it won worldwide rights to sell songs from Warner Music Group through cell phone networks.",Sci_Tech,new mobile music service launch com december pm pt seattle base mobile music company melodeo say wednesday that it win worldwide right to sell song from warner music group through cell phone network,33
"U.N. to Debate Anti-Cloning Treaty (AP). AP - The highly contentious issue of cloning is back on the U.N. agenda, with support among member states for a treaty banning human cloning but divisions over the use of human embryos for medical research.",Sci_Tech,to debate anti cloning treaty the highly contentious issue of cloning be back on the agenda with support among member state for treaty ban human cloning but division over the use of human embryo for medical research,37
