text,label
"Red Hat Appoints New CFO. September 2, 2004 -- (WEB HOST INDUSTRY REVIEW) -- Linux distributor Red Hat (redhat.com) announced on Thursday that it has appointed Charles E. Peters, Jr.",Sci_Tech
"Sprint, SBC In Hotspot Roaming Deal. Sprint and SBC Communications Friday announced a two-way roaming deal that will enable the customers of each vendor to access the hotspots run by the other.",Sci_Tech
Radio Outage Grounds West Coast Flights. Airport operations were back to normal early Wednesday following a radio failure at a Federal Aviation Administration control facility that tied up travelers for hours.,Business
"Hollywood lawsuits to strike Net pirates. Hollywood studios are about to take the long-anticipated step of firing a barrage of lawsuits at some of the most prolific Internet pirates, echoing the legal strategy that the recording industry already has used with limited success.",Sci_Tech
Custis Takes Control. Family and Tony Robbins have matured and molded University of Maryland free safety Ray Custis into a trusted leader and anchor of the Terrapins' defense.,Sports
CA execs can keep bonuses--for now. Computer Associates International shareholders on Wednesday struck down a proposal to recoup money paid out to executives during a long-running accounting scandal.,Sci_Tech
"WorldCom, Microsoft cases before EU court. Two of the European Union #39;s landmark antitrust decisions against US companies are in court this week as WorldCom Inc. seeks a moral victory and Microsoft Corp.",Business
"EU Court Overturns Bar on Merger (Reuters). Reuters - The European Commission was wrong to bar the takeover bid by U.S. telecoms firm WorldCom for rival Sprint, a European Union court said on Tuesday, annulling the action taken four years ago.",Business
Homer-happy Mariners end skid. A four-pitch sequence in the fifth inning Friday night produced something the Mariners hadn #39;t done in nearly eight years. Miguel Olivo hit a home run to left-center field.,Sports
"Philip Morris lab discovered passive smoking risk in 1982: Lancet. PARIS (AFP) - A lab owned by US tobacco giant Philip Morris uncovered evidence in the early 1980s about potential risks from passive smoking but its findings were never made public, a study charges.",Sci_Tech
"Update 2: Top Citigroup Executives Swap Jobs. In a move Citigroup Inc. said was aimed at broadening the experience of up-and-coming executives, two of its top managers are swapping jobs.",Business
"My Yahoo Embraces RSS Feeds. My Yahoo Embraces RSS Feeds I started using RSS in January 2000 after Blake Carver sent me a exasperated e-mail asking why, for heaven's sake, I wasn't using it. Surely, he noted, I could see that RSS was the greatest thing since sliced soap. (He may have used slightly different words.) ...",Sci_Tech
Chinese astronauts to wear lighter outfits. China has developed a light and removable spacesuit for its astronauts set to embark on China #39;s second manned space mission scheduled for next September.,Sci_Tech
"Game over for Hewitt and Clijsters. Kim Clijsters has stunned the tennis world by announcing her break up with Lleyton Hewitt, just four months before their scheduled wedding.",Sports
Mets and Randolph Launch a New Era. Willie Randolph walked into Shea Stadium on Thursday and was introduced as the first African-American manager of a major league team in New York.,Sports
"NC State 17, Virginia Tech 16. TA McLendon ran for 93 yards and a touchdown for North Carolina State and Virginia Tech kicker Brandon Pace missed a 43-yard field goal attempt as time expired as the Wolfpack beat the Hokies 17-16 Saturday.",Sports
"Japan quakes kill eight. Tokyo - A strong earthquake measuring 6.8 on the Richter scale and swarms of aftershocks rocked central Japan and the capital Tokyo on Saturday, killing at least eight people including four children, officials said.",World
"Athletics: Shaheen record run lifts after-show party. For Saif Saaeed Shaheen, the Memorial Van Damme in the Stade Roi Baudouin last night was the Lord Mayor #39;s Show, not after it. He made the most of it, steeplechasing in all his",Sports
"Scientists map Chromosome 5. GENETICS experts reported today that they had mapped Chromosome 5 of the human genome, a coil of DNA linked to several rare but crippling disorders including spinal muscular atrophy.",Sci_Tech
"New mobile music service launches. com December 15, 2004, 3:10 PM PT. Seattle-based mobile music company Melodeo said Wednesday that it won worldwide rights to sell songs from Warner Music Group through cell phone networks.",Sci_Tech
"U.N. to Debate Anti-Cloning Treaty (AP). AP - The highly contentious issue of cloning is back on the U.N. agenda, with support among member states for a treaty banning human cloning but divisions over the use of human embryos for medical research.",Sci_Tech
"Kuznetsova Reaches First Grand Slam Semi. NEW YORK (Reuters) - Svetlana Kuznetsova squeezed past fellow Russian Nadia Petrova 7-6, 6-3 at the U.S. Open on Wednesday to reach her first grand slam semi-final.",Sports
"Defense Leaders Faulted by Panel in Prison Abuse. Leadership failures at the highest levels contributed to an environment in which detainees were abused, a panel concluded.",World
Bush's Backers Donate Heavily to Veteran Ads. Swift Boat Veterans for Truth said it had raised $6.7 million in a windfall brought about by its high profile in recent weeks.,World
"Boeing, EADS Likely to Make Tanker Bids. The Pentagon will hold a competition to replace its aging fleet of refueling tankers, potentially pitting aerospace giant Boeing Co.",Business
"Driver #39;s license gets new high-tech features. Minnesota will soon begin issuing new driver #39;s licenses that contain high-tech features to curb counterfeiting, as well as a quot;status check quot; that will show a driver #39;s immigration status.",Sci_Tech
"Dhaka Rally Attack Kills 14, Injures Hundreds. A grenade attack at a rally for the Awami Union Party in the Bangladeshi capital Dhaka left 14 people dead and more than 300 injured.",World
"SGI launches Linux-based visual computer line. Silicon Graphics Inc. (SGI) on Monday will launch the successor line to its Onyx visualization systems. Called Prism, the systems will be based on Intel Corp.'s Itanium 2 processor and the Linux operating system.",Sci_Tech
"State Street Research acquired. A historic name in mutual funds will soon vanish from Boston #39;s investing scene, with BlackRock Inc. #39;s agreement yesterday to acquire State Street Research amp; Management",Business
